time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
3.260,9.640,0.737,-3.158,-0.183,0.183,0.000,167.2,-71.4,158.5
3.270,9.603,0.731,-3.164,-0.183,0.244,0.061,167.2,-71.4,158.5
3.280,9.626,0.695,-3.182,-0.183,0.183,0.122,167.2,-71.4,158.5
3.290,9.612,0.723,-3.156,-0.122,0.244,0.000,167.2,-71.4,158.5
3.300,9.606,0.691,-3.163,-0.122,0.183,0.061,167.2,-71.4,158.5
3.310,9.606,0.701,-3.170,-0.183,0.244,0.122,167.2,-71.4,158.5
3.320,9.616,0.681,-3.154,0.000,0.183,0.061,167.2,-71.4,158.5
3.330,9.632,0.725,-3.156,-0.183,0.183,0.122,167.2,-71.4,158.5
3.340,9.581,0.734,-3.217,-0.122,0.183,0.122,167.2,-71.4,158.5
3.350,9.611,0.751,-3.239,-0.122,0.122,0.122,167.2,-71.4,158.5
3.360,9.618,0.728,-3.182,-0.061,0.122,0.122,167.2,-71.4,158.5
3.370,9.618,0.691,-3.156,-0.122,0.061,0.122,167.2,-71.4,158.5
3.380,9.606,0.737,-3.224,-0.122,0.183,0.122,167.2,-71.4,158.5
3.390,9.603,0.728,-3.195,-0.183,0.183,0.122,167.2,-71.4,158.5
3.400,9.601,0.736,-3.209,-0.183,0.122,0.122,167.2,-71.4,158.5
3.410,9.586,0.717,-3.193,-0.183,0.244,0.122,167.2,-71.4,158.5
3.420,9.606,0.683,-3.169,-0.183,0.244,0.061,167.2,-71.4,158.5
3.430,9.589,0.694,-3.158,-0.122,0.366,0.122,167.2,-71.4,158.5
3.440,9.623,0.739,-3.197,-0.122,0.244,0.122,167.2,-71.4,158.5
3.450,9.600,0.733,-3.189,-0.183,0.244,0.122,167.2,-71.4,158.5
3.460,9.600,0.698,-3.187,-0.183,0.244,0.122,167.2,-71.4,158.5
3.470,9.586,0.725,-3.130,-0.061,0.305,0.122,167.2,-71.4,158.5
3.480,9.589,0.725,-3.176,-0.122,0.244,0.122,167.2,-71.4,158.5
