time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
1.120,9.687,0.432,-2.972,8.789,19.653,21.790,174.0,-73.1,156.3
1.130,9.710,0.429,-2.952,8.911,20.081,21.606,174.0,-73.0,156.2
1.140,9.794,0.415,-2.872,9.460,20.020,21.423,174.0,-72.9,156.1
1.150,9.726,0.397,-2.946,9.644,19.714,21.240,174.1,-72.8,156.1
1.160,9.614,0.370,-3.019,9.705,20.325,21.484,174.1,-72.8,156.0
1.170,9.616,0.324,-2.951,10.254,20.874,21.545,174.1,-72.7,155.9
1.180,9.660,0.324,-2.872,10.803,20.813,21.667,174.2,-72.6,155.8
1.190,9.646,0.339,-2.925,10.559,19.470,21.606,174.2,-72.5,155.8
1.200,9.750,0.321,-2.950,10.986,18.555,21.606,174.3,-72.4,155.7
1.210,9.635,0.399,-3.121,11.169,19.043,21.423,174.3,-72.3,155.6
1.220,9.665,0.311,-3.095,10.437,20.020,21.667,174.4,-72.3,155.5
1.230,9.599,0.292,-3.132,9.827,20.935,21.851,174.4,-72.2,155.4
1.240,9.581,0.413,-3.025,9.705,21.423,22.156,174.5,-72.1,155.3
1.250,9.583,0.438,-2.946,9.521,20.569,22.339,174.5,-72.0,155.2
1.260,9.667,0.443,-3.076,9.338,19.470,22.339,174.6,-72.0,155.2
1.270,9.672,0.430,-3.168,9.216,19.043,22.034,174.6,-71.9,155.1
1.280,9.637,0.373,-3.276,8.667,19.714,21.973,174.7,-71.8,155.0
1.290,9.567,0.290,-3.197,9.155,20.996,22.034,174.7,-71.7,154.9
1.300,9.549,0.279,-3.033,9.338,20.935,22.156,174.7,-71.6,154.8
1.310,9.524,0.239,-3.054,10.132,20.142,22.461,174.8,-71.6,154.7
1.320,9.522,0.279,-3.069,10.559,17.944,22.400,174.9,-71.5,154.6
1.330,9.679,0.323,-3.162,11.108,16.052,22.339,175.0,-71.4,154.5
1.340,9.710,0.391,-3.422,11.169,15.869,22.095,175.0,-71.2,154.4
1.350,9.743,0.305,-3.454,10.254,17.334,21.973,175.1,-71.1,154.3
1.360,9.733,0.335,-3.538,9.460,19.470,21.973,175.1,-71.0,154.2
1.370,9.691,0.332,-3.398,9.460,22.217,21.912,175.2,-70.9,154.1
1.380,9.668,0.297,-3.206,9.399,23.376,21.973,175.2,-70.9,154.1
1.390,9.647,0.279,-3.179,9.644,22.522,21.851,175.2,-70.9,154.0
1.400,9.607,0.239,-3.120,10.071,20.935,21.606,175.3,-70.8,153.9
1.410,9.553,0.257,-3.320,10.376,20.203,21.851,175.3,-70.7,153.8
1.420,9.552,0.231,-3.465,10.071,20.020,22.156,175.4,-70.6,153.8
1.430,9.582,0.241,-3.490,10.376,21.057,22.644,175.5,-70.6,153.7
1.440,9.559,0.243,-3.460,10.254,21.973,22.827,175.5,-70.5,153.5
1.450,9.612,0.139,-3.419,10.376,22.888,22.949,175.6,-70.4,153.4
1.460,9.534,0.174,-3.358,10.559,23.071,22.583,175.7,-70.4,153.3
1.470,9.509,0.133,-3.412,10.925,22.522,22.278,175.7,-70.3,153.2
1.480,9.568,0.194,-3.362,10.925,21.362,21.973,175.8,-70.3,153.1
1.490,9.607,0.182,-3.409,11.414,20.996,21.729,175.9,-70.2,153.1
1.500,9.668,0.213,-3.503,11.963,20.996,21.423,175.9,-70.1,153.0
1.510,9.583,0.209,-3.470,12.329,21.851,21.362,176.0,-70.1,152.9
1.520,9.562,0.290,-3.486,12.329,22.217,21.423,176.0,-70.0,152.9
1.530,9.541,0.291,-3.516,12.451,22.583,21.667,176.1,-69.9,152.8
1.540,9.561,0.299,-3.495,12.512,22.949,21.667,176.1,-69.9,152.7
1.550,9.593,0.296,-3.549,12.512,22.583,21.606,176.2,-69.8,152.7
1.560,9.607,0.308,-3.573,12.268,22.705,21.423,176.2,-69.8,152.6
1.570,9.597,0.253,-3.513,12.573,23.743,21.240,176.2,-69.7,152.6
1.580,9.567,0.221,-3.511,12.451,24.231,20.996,176.3,-69.7,152.6
1.590,9.563,0.174,-3.473,13.123,24.231,20.691,176.3,-69.6,152.5
1.600,9.559,0.152,-3.377,13.550,23.621,20.325,176.3,-69.6,152.5
1.610,9.594,0.175,-3.442,13.977,22.644,19.959,176.4,-69.5,152.5
1.620,9.559,0.188,-3.563,14.221,22.583,19.897,176.4,-69.5,152.4
1.630,9.592,0.221,-3.661,14.038,23.132,19.897,176.4,-69.4,152.4
1.640,9.569,0.237,-3.625,13.977,24.170,19.897,176.4,-69.4,152.4
1.650,9.546,0.205,-3.616,14.160,25.024,19.897,176.5,-69.4,152.4
1.660,9.513,0.242,-3.534,14.404,25.452,20.081,176.5,-69.3,152.4
1.670,9.488,0.226,-3.598,14.160,25.208,20.203,176.5,-69.3,152.4
1.680,9.507,0.175,-3.656,14.343,24.719,20.264,176.5,-69.3,152.4
1.690,9.496,0.140,-3.623,14.893,24.902,20.264,176.6,-69.2,152.4
1.700,9.477,0.156,-3.672,15.137,25.085,20.081,176.6,-69.2,152.3
1.710,9.474,0.189,-3.699,15.259,24.902,19.897,176.7,-69.1,152.3
1.720,9.476,0.195,-3.729,15.076,24.780,19.775,176.7,-69.1,152.3
1.730,9.490,0.175,-3.683,14.832,25.085,19.470,176.7,-69.1,152.3
1.740,9.521,0.213,-3.599,15.076,26.062,19.287,176.7,-69.0,152.3
1.750,9.543,0.198,-3.557,15.442,26.428,19.165,176.7,-69.0,152.3
1.760,9.541,0.196,-3.547,15.869,26.428,19.287,176.7,-69.0,152.3
1.770,9.571,0.171,-3.683,15.991,26.550,19.287,176.7,-69.0,152.4
1.780,9.562,0.194,-3.647,16.541,27.588,19.348,176.8,-69.0,152.4
1.790,9.549,0.153,-3.625,16.724,28.137,19.287,176.8,-69.0,152.4
1.800,9.540,0.218,-3.673,16.418,28.381,19.226,176.8,-69.0,152.4
1.810,9.539,0.207,-3.709,16.357,28.381,19.226,176.8,-69.0,152.4
1.820,9.553,0.223,-3.674,16.174,28.687,19.348,176.9,-69.0,152.4
1.830,9.551,0.293,-3.665,16.113,28.992,19.348,176.9,-69.0,152.4
1.840,9.553,0.302,-3.687,15.686,29.358,19.470,176.9,-69.0,152.5
1.850,9.508,0.316,-3.686,15.442,29.541,19.226,176.9,-69.0,152.5
1.860,9.537,0.271,-3.671,15.015,29.663,19.165,176.8,-69.0,152.5
1.870,9.532,0.214,-3.614,14.709,29.419,19.104,176.8,-69.0,152.6
1.880,9.544,0.176,-3.595,14.832,29.297,19.043,176.8,-69.0,152.6
1.890,9.495,0.194,-3.650,15.381,29.053,18.982,176.8,-69.0,152.6
1.900,9.495,0.235,-3.727,15.259,28.870,19.104,176.8,-69.0,152.6
1.910,9.509,0.225,-3.774,14.893,29.236,19.226,176.8,-69.0,152.7
1.920,9.509,0.247,-3.760,14.648,30.334,19.226,176.8,-69.0,152.7
1.930,9.534,0.205,-3.677,14.587,31.433,19.348,176.8,-69.1,152.7
1.940,9.551,0.209,-3.594,14.709,31.738,19.348,176.8,-69.1,152.7
1.950,9.558,0.266,-3.555,14.587,31.311,19.287,176.8,-69.1,152.8
1.960,9.555,0.255,-3.604,14.526,30.884,19.287,176.8,-69.2,152.8
1.970,9.579,0.280,-3.638,14.465,30.701,19.348,176.8,-69.2,152.8
1.980,9.515,0.260,-3.689,14.282,30.762,19.470,176.8,-69.2,152.8
1.990,9.500,0.230,-3.656,13.733,31.189,19.409,176.7,-69.2,152.9
2.000,9.533,0.238,-3.648,13.794,31.860,19.531,176.7,-69.3,152.9
2.010,9.476,0.267,-3.550,13.733,31.982,19.348,176.7,-69.3,152.9
2.020,9.465,0.285,-3.477,13.916,31.311,19.348,176.7,-69.3,152.9
2.030,9.468,0.296,-3.515,14.221,30.029,19.165,176.7,-69.4,153.0
2.040,9.524,0.345,-3.516,14.343,29.358,19.043,176.7,-69.4,153.0
2.050,9.534,0.391,-3.711,14.404,29.114,19.104,176.6,-69.4,153.0
2.060,9.601,0.344,-3.654,14.099,29.419,19.226,176.6,-69.4,153.1
2.070,9.544,0.269,-3.727,14.038,30.212,19.348,176.6,-69.4,153.1
2.080,9.585,0.221,-3.598,14.099,31.372,19.531,176.6,-69.4,153.1
2.090,9.551,0.157,-3.574,14.038,31.982,19.592,176.6,-69.4,153.1
2.100,9.479,0.169,-3.494,13.794,32.166,19.775,176.6,-69.5,153.2
2.110,9.500,0.266,-3.571,13.855,31.860,19.897,176.6,-69.5,153.2
2.120,9.492,0.335,-3.526,13.611,31.433,20.081,176.6,-69.6,153.2
2.130,9.518,0.379,-3.492,13.672,31.128,20.020,176.6,-69.6,153.2
2.140,9.503,0.394,-3.538,13.367,31.006,19.959,176.5,-69.6,153.2
2.150,9.540,0.293,-3.496,13.489,31.128,19.836,176.5,-69.6,153.2
2.160,9.558,0.223,-3.431,13.794,31.250,19.653,176.5,-69.7,153.2
2.170,9.490,0.189,-3.387,14.526,30.579,19.226,176.5,-69.7,153.3
2.180,9.515,0.206,-3.353,15.076,29.419,19.104,176.5,-69.7,153.3
2.190,9.486,0.220,-3.529,15.564,28.687,18.921,176.5,-69.7,153.3
2.200,9.500,0.226,-3.562,15.625,29.236,19.165,176.5,-69.7,153.3
2.210,9.494,0.320,-3.674,14.893,29.724,19.470,176.5,-69.7,153.4
2.220,9.557,0.309,-3.600,14.221,29.907,19.836,176.5,-69.7,153.4
2.230,9.579,0.323,-3.535,13.611,30.823,20.020,176.5,-69.8,153.4
2.240,9.563,0.290,-3.497,13.245,31.616,20.142,176.5,-69.8,153.4
2.250,9.582,0.247,-3.452,12.634,31.433,20.142,176.5,-69.8,153.4
2.260,9.573,0.229,-3.437,12.451,30.640,19.959,176.5,-69.8,153.4
2.270,9.555,0.225,-3.431,12.695,30.212,19.836,176.4,-69.9,153.4
2.280,9.539,0.223,-3.491,13.123,30.029,19.836,176.4,-69.9,153.4
2.290,9.564,0.226,-3.561,13.367,29.968,19.836,176.4,-69.9,153.4
2.300,9.497,0.215,-3.494,13.428,30.334,19.897,176.4,-69.9,153.4
2.310,9.497,0.235,-3.529,13.489,30.701,19.959,176.4,-69.9,153.4
2.320,9.503,0.229,-3.492,13.123,30.396,20.081,176.4,-70.0,153.4
2.330,9.476,0.304,-3.434,12.756,29.663,19.897,176.4,-70.0,153.4
2.340,9.484,0.309,-3.430,12.634,29.053,19.897,176.4,-70.0,153.4
2.350,9.479,0.322,-3.447,12.817,28.687,19.897,176.4,-70.0,153.4
2.360,9.502,0.296,-3.462,12.634,28.015,19.897,176.4,-70.0,153.4
2.370,9.525,0.323,-3.561,12.390,27.466,19.897,176.4,-70.0,153.5
2.380,9.546,0.310,-3.604,12.390,27.649,20.020,176.4,-70.0,153.5
2.390,9.598,0.257,-3.564,12.512,28.442,19.959,176.3,-70.0,153.5
2.400,9.605,0.260,-3.482,12.512,29.358,20.142,176.3,-70.0,153.5
2.410,9.582,0.201,-3.438,12.634,29.846,20.020,176.3,-70.0,153.5
2.420,9.559,0.221,-3.428,12.878,29.724,19.897,176.3,-70.0,153.5
2.430,9.556,0.247,-3.452,13.062,29.541,19.775,176.3,-70.0,153.5
2.440,9.532,0.247,-3.331,12.817,29.297,19.775,176.3,-70.0,153.5
2.450,9.525,0.274,-3.455,12.695,28.625,19.714,176.3,-70.0,153.5
2.460,9.532,0.328,-3.419,12.573,28.564,19.836,176.3,-70.0,153.5
2.470,9.537,0.344,-3.450,12.634,28.625,19.897,176.3,-70.0,153.5
2.480,9.504,0.326,-3.361,12.329,28.564,20.142,176.2,-70.0,153.5
2.490,9.519,0.315,-3.440,11.902,28.320,20.142,176.2,-70.0,153.5
2.500,9.537,0.310,-3.409,11.963,28.198,20.264,176.2,-70.0,153.5
2.510,9.543,0.253,-3.423,12.024,27.832,20.203,176.2,-70.0,153.5
2.520,9.557,0.263,-3.453,12.146,27.527,20.081,176.2,-70.0,153.5
2.530,9.605,0.200,-3.485,12.329,27.649,19.897,176.2,-70.0,153.5
2.540,9.541,0.190,-3.592,12.573,27.954,19.836,176.2,-70.0,153.5
2.550,9.547,0.206,-3.526,12.878,28.564,19.836,176.2,-70.0,153.5
2.560,9.504,0.218,-3.464,13.123,29.297,19.897,176.2,-70.0,153.5
2.570,9.502,0.259,-3.423,13.123,29.541,19.897,176.2,-70.0,153.5
2.580,9.552,0.286,-3.417,13.123,29.297,19.897,176.2,-70.0,153.5
2.590,9.577,0.298,-3.467,13.062,28.625,19.897,176.2,-70.0,153.5
2.600,9.534,0.327,-3.507,12.634,28.625,20.020,176.2,-70.0,153.5
2.610,9.537,0.308,-3.556,12.329,28.931,20.081,176.2,-70.1,153.5
2.620,9.488,0.286,-3.485,11.963,29.053,19.959,176.1,-70.1,153.5
2.630,9.512,0.266,-3.484,11.963,28.687,19.897,176.1,-70.1,153.5
2.640,9.520,0.224,-3.386,12.146,28.015,19.775,176.1,-70.1,153.5
2.650,9.522,0.261,-3.528,12.634,27.893,19.653,176.1,-70.1,153.5
2.660,9.512,0.254,-3.498,12.817,28.015,19.653,176.1,-70.0,153.5
2.670,9.563,0.274,-3.558,13.000,28.076,19.531,176.1,-70.0,153.6
2.680,9.547,0.304,-3.525,13.000,28.381,19.592,176.1,-70.0,153.6
2.690,9.575,0.335,-3.494,13.123,28.687,19.897,176.0,-70.0,153.6
2.700,9.512,0.328,-3.441,12.939,28.809,19.836,176.0,-70.0,153.6
2.710,9.544,0.318,-3.436,12.695,28.992,19.897,176.0,-70.0,153.6
2.720,9.519,0.290,-3.376,12.756,28.809,19.836,176.0,-70.1,153.6
