time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
7.480,10.006,-1.894,0.832,54.443,-16.296,-1.343,10.4,-83.0,-48.4
7.490,11.827,-3.409,1.782,53.894,-3.906,5.432,9.9,-83.1,-47.3
7.500,11.901,-4.123,2.920,62.195,0.244,6.836,8.5,-83.1,-45.3
7.510,11.162,-3.447,2.135,71.533,-15.015,4.822,7.2,-83.2,-43.4
7.520,10.151,-2.318,0.977,83.008,-20.203,5.615,6.6,-83.4,-41.9
7.530,9.790,-1.740,0.657,89.172,-12.268,9.827,5.9,-83.6,-40.4
7.540,9.893,-1.213,0.826,86.853,-4.700,12.756,5.2,-83.7,-38.8
7.550,10.288,-0.846,1.050,84.473,-1.648,12.695,4.4,-83.7,-37.1
7.560,10.294,-0.443,1.276,86.975,-0.977,11.047,3.9,-83.7,-35.8
7.570,9.980,-0.517,1.451,91.858,-1.831,8.423,3.8,-83.7,-34.8
7.580,9.585,-0.679,1.502,98.145,0.122,5.432,3.9,-83.7,-34.0
7.590,9.327,-0.709,1.251,105.652,-0.183,3.967,4.3,-83.7,-33.2
7.600,9.190,-0.301,0.554,108.154,-1.465,4.456,4.7,-83.7,-32.6
7.610,9.071,0.225,0.180,103.760,-1.709,6.836,5.1,-83.8,-31.9
7.620,9.948,0.463,0.320,100.037,-2.625,11.108,5.3,-83.9,-31.2
7.630,9.902,0.954,0.165,99.487,0.977,14.465,5.3,-83.9,-30.2
7.640,9.705,0.704,0.418,99.548,7.751,17.883,5.1,-83.9,-28.9
7.650,9.358,0.254,0.656,98.877,12.207,17.944,4.5,-83.8,-27.3
7.660,8.930,-0.072,0.709,97.107,13.000,16.724,3.9,-83.7,-25.7
7.670,8.787,-0.347,0.729,98.816,13.733,15.564,3.3,-83.6,-24.1
7.680,8.749,-0.555,0.850,100.647,13.733,13.855,2.8,-83.5,-22.6
7.690,9.108,-0.555,0.768,105.164,11.841,12.085,2.5,-83.4,-21.2
7.700,9.636,-0.343,0.369,110.291,11.902,11.536,2.4,-83.3,-20.0
7.710,9.868,-0.032,-0.032,112.976,14.343,12.207,2.3,-83.2,-18.9
7.720,9.920,0.110,-0.117,113.220,16.663,13.550,2.3,-83.1,-17.7
7.730,9.744,0.211,0.096,113.892,18.555,14.221,2.3,-83.0,-16.5
7.740,9.436,0.317,0.353,115.845,18.372,14.099,2.3,-82.9,-15.4
7.750,9.197,0.352,0.530,118.836,17.273,13.550,2.5,-82.7,-14.4
7.760,9.075,0.533,0.487,120.667,15.869,13.184,2.8,-82.6,-13.4
7.770,8.866,0.657,0.695,121.277,14.709,13.062,3.1,-82.5,-12.6
7.780,8.784,0.831,0.529,121.948,12.634,12.695,3.5,-82.4,-11.8
7.790,8.706,1.029,0.432,123.535,11.292,11.597,4.1,-82.3,-11.1
7.800,8.726,0.930,0.444,125.061,11.292,9.705,4.9,-82.2,-10.6
7.810,8.985,0.691,0.795,125.610,11.047,6.836,5.8,-82.2,-10.3
7.820,9.203,0.616,1.257,123.230,9.766,4.761,6.8,-82.1,-10.0
7.830,9.846,0.460,1.039,122.253,6.958,3.540,7.8,-82.0,-9.8
7.840,10.156,0.401,0.836,120.850,8.423,3.357,8.8,-82.0,-9.6
7.850,10.011,0.346,0.948,118.225,11.353,4.883,9.7,-81.9,-9.2
7.860,9.539,0.164,0.875,117.737,16.052,7.813,10.2,-81.8,-8.6
7.870,9.182,-0.019,0.783,116.821,21.729,11.841,10.4,-81.6,-7.6
7.880,8.761,-0.094,0.877,114.929,26.001,17.456,10.2,-81.4,-6.2
7.890,8.568,-0.189,0.682,115.295,25.635,22.766,9.6,-81.2,-4.4
7.900,8.069,-0.300,0.642,116.577,22.949,24.658,8.9,-81.1,-2.5
7.910,8.004,-0.704,1.569,118.225,18.982,25.330,8.2,-80.9,-0.6
7.920,8.590,-0.769,1.824,125.122,9.277,22.339,7.6,-80.8,1.2
7.930,9.725,-0.572,2.739,129.334,-0.366,19.592,7.4,-80.8,2.7
7.940,11.658,0.366,4.150,126.282,-9.827,18.738,7.4,-80.9,4.0
7.950,14.204,2.539,3.425,123.169,-17.090,23.621,7.5,-80.9,5.2
7.960,15.668,4.905,0.148,123.169,-10.925,36.377,7.5,-81.1,6.4
7.970,13.774,4.872,-1.314,117.065,18.005,45.288,7.3,-81.2,7.8
7.980,11.101,3.315,0.965,99.792,49.988,48.401,6.3,-80.9,9.9
7.990,9.612,1.532,2.750,91.125,58.716,41.687,5.0,-80.4,12.3
8.000,9.120,1.073,2.130,95.032,49.927,30.396,4.1,-79.8,14.1
8.010,9.387,1.005,1.160,99.487,46.875,24.658,3.7,-79.3,15.5
8.020,9.415,1.390,0.797,104.675,49.377,24.658,3.6,-78.9,16.7
8.030,9.271,1.384,0.997,105.591,45.837,28.870,3.4,-78.5,17.9
8.040,9.276,1.142,1.265,106.262,39.612,36.255,3.0,-78.1,19.5
8.050,9.251,1.128,1.062,106.934,33.264,44.617,2.2,-77.8,21.4
8.060,9.198,0.759,0.723,104.492,28.198,53.101,1.1,-77.6,23.6
8.070,9.198,-0.009,0.569,100.769,27.405,58.838,-0.3,-77.4,26.2
8.080,9.410,-0.739,1.076,96.741,27.893,60.608,-2.1,-77.2,28.9
8.090,9.585,-0.831,1.743,97.168,21.973,58.594,-3.8,-76.9,31.6
8.100,9.902,-0.653,1.758,100.098,15.381,54.199,-5.2,-76.7,34.1
8.110,10.413,-0.120,1.471,106.323,15.747,47.791,-6.2,-76.6,36.3
8.120,10.888,0.942,1.184,112.610,21.240,40.527,-6.7,-76.4,37.9
8.130,10.956,1.841,1.130,117.004,26.489,34.607,-6.6,-76.2,39.1
8.140,10.602,2.194,1.185,119.568,31.494,32.227,-6.2,-75.9,39.9
8.150,10.157,2.197,1.468,121.826,32.959,31.433,-5.7,-75.6,40.6
8.160,9.788,2.164,1.323,124.146,30.701,31.799,-5.2,-75.3,41.3
8.170,9.807,2.101,1.102,125.183,28.076,33.508,-4.7,-75.1,42.2
8.180,9.747,1.837,1.000,126.953,27.588,36.072,-4.3,-74.9,43.1
8.190,9.544,1.372,1.154,127.319,27.954,39.368,-4.0,-74.6,44.2
8.200,9.403,0.961,1.586,125.794,28.198,42.664,-4.0,-74.4,45.4
8.210,9.387,0.588,1.952,124.817,26.062,45.166,-4.1,-74.1,46.9
8.220,9.248,0.494,1.806,122.864,21.790,46.387,-4.3,-73.9,48.4
8.230,9.245,0.650,1.523,119.873,19.287,46.448,-4.5,-73.7,49.9
8.240,9.191,0.859,1.453,117.004,16.296,46.021,-4.7,-73.6,51.3
8.250,9.453,1.288,1.074,113.953,10.193,44.373,-4.9,-73.5,52.7
8.260,9.641,1.657,0.904,115.051,12.573,42.725,-4.9,-73.4,53.9
8.270,9.656,2.070,0.814,113.464,14.038,42.358,-4.8,-73.3,55.1
8.280,9.582,2.313,1.002,110.291,14.832,43.457,-4.8,-73.2,56.2
8.290,9.508,2.513,1.237,108.460,15.015,44.434,-4.7,-73.1,57.4
8.300,9.321,2.559,1.389,104.736,13.916,45.410,-4.7,-73.0,58.5
8.310,9.175,2.566,1.633,100.037,13.123,46.143,-4.7,-72.9,59.6
8.320,8.957,2.569,1.754,95.886,10.376,46.082,-4.8,-72.8,60.7
8.330,8.583,2.532,2.083,90.210,8.911,45.166,-4.9,-72.8,61.9
8.340,8.056,2.361,2.279,84.351,4.395,42.847,-5.0,-72.7,62.9
8.350,8.060,1.853,1.848,79.407,-2.136,38.696,-5.1,-72.7,63.9
8.360,8.605,1.682,1.329,75.928,-6.348,32.715,-5.2,-72.8,64.8
8.370,9.263,2.015,1.075,72.327,-6.958,27.161,-5.1,-72.9,65.5
8.380,9.428,2.513,1.141,69.153,-6.775,23.315,-4.9,-73.0,66.0
8.390,9.405,2.940,1.496,61.768,-8.850,22.034,-4.6,-73.2,66.4
8.400,9.428,3.222,1.896,53.833,-9.827,22.156,-4.3,-73.3,66.7
8.410,9.545,3.119,2.446,49.072,-10.315,21.484,-4.0,-73.4,67.0
8.420,9.731,2.848,2.791,47.852,-13.489,19.959,-3.7,-73.6,67.3
8.430,10.245,2.732,2.645,45.898,-17.761,17.883,-3.4,-73.7,67.5
8.440,10.922,2.578,2.461,43.335,-19.226,16.113,-3.2,-74.0,67.7
8.450,11.471,2.068,2.627,42.603,-15.076,14.893,-2.9,-74.1,67.9
8.460,11.429,1.318,2.954,42.725,-10.986,14.099,-2.6,-74.3,68.1
8.470,10.966,0.788,3.036,42.236,-9.094,14.465,-2.5,-74.4,68.4
8.480,10.343,0.727,2.778,41.260,-8.667,15.137,-2.5,-74.5,68.9
8.490,9.608,0.954,2.485,42.969,-5.615,14.526,-2.5,-74.5,69.3
8.500,8.852,1.156,2.194,47.058,-0.366,13.977,-2.3,-74.6,69.6
8.510,8.313,0.892,2.226,48.828,3.967,13.733,-2.1,-74.5,70.0
8.520,7.972,0.614,2.667,47.791,6.287,14.465,-2.0,-74.5,70.3
8.530,8.153,0.145,3.262,45.776,4.150,15.259,-2.0,-74.4,70.8
8.540,8.326,-0.332,2.924,46.143,-3.174,15.564,-2.0,-74.4,71.3
8.550,8.542,-0.641,2.412,50.415,-9.949,16.174,-2.2,-74.4,72.0
