time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
7.530,13.305,0.672,0.820,-10.925,40.405,14.099,2.8,-85.1,-38.9
7.540,11.610,0.394,1.727,-14.771,50.354,7.874,3.8,-84.9,-40.3
7.550,11.442,0.808,2.108,-14.832,46.570,2.930,5.3,-84.7,-42.0
7.560,10.236,1.772,1.374,-8.301,44.067,2.197,7.1,-84.5,-44.1
7.570,9.685,2.104,1.000,-4.883,46.265,6.409,9.0,-84.3,-46.1
7.580,9.272,1.946,1.009,-5.310,46.631,11.292,10.2,-84.0,-47.6
7.590,8.878,2.003,1.153,-9.155,44.434,13.367,11.1,-83.8,-48.6
7.600,8.818,1.977,1.134,-12.085,44.312,15.564,11.7,-83.7,-49.5
7.610,8.362,1.958,0.937,-15.686,44.861,15.320,12.1,-83.5,-50.2
7.620,8.519,1.596,0.794,-17.334,48.157,13.916,12.6,-83.3,-50.9
7.630,8.288,1.178,0.529,-19.287,51.270,9.705,13.0,-83.0,-51.7
7.640,7.908,0.528,0.259,-20.752,52.246,6.409,13.5,-82.8,-52.6
7.650,7.303,-0.011,0.336,-20.752,54.810,2.197,14.1,-82.5,-53.5
7.660,6.920,-0.296,0.604,-20.386,58.167,-0.427,14.6,-82.2,-54.3
7.670,6.801,-0.484,0.668,-20.935,59.326,-0.366,15.0,-81.9,-55.0
7.680,6.564,-0.515,0.475,-19.043,59.937,0.916,15.2,-81.5,-55.6
7.690,6.266,-0.445,0.426,-20.447,59.753,3.479,15.2,-81.2,-55.9
7.700,6.549,-0.092,0.517,-21.667,58.960,5.493,15.1,-80.9,-56.2
7.710,6.770,0.151,0.560,-22.461,59.265,6.470,15.0,-80.6,-56.5
7.720,6.755,0.280,0.521,-23.438,57.983,8.667,14.9,-80.3,-56.7
7.730,7.035,0.371,0.391,-23.438,57.190,11.047,14.7,-80.0,-56.8
7.740,7.297,0.785,0.241,-22.217,54.932,12.329,14.4,-79.8,-57.0
7.750,7.473,1.177,0.128,-20.996,52.429,12.573,14.4,-79.6,-57.2
7.760,7.607,1.791,0.019,-21.057,46.936,12.146,14.4,-79.4,-57.6
7.770,7.844,2.411,-0.268,-22.705,38.391,11.169,14.8,-79.3,-58.4
7.780,8.415,2.683,-0.408,-24.841,31.494,10.376,15.5,-79.3,-59.4
7.790,9.319,2.793,-0.147,-25.757,25.330,9.460,16.3,-79.3,-60.6
7.800,10.239,2.958,0.387,-23.499,19.165,8.606,17.2,-79.4,-61.9
