time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
5.970,11.503,0.385,12.068,-5.066,-67.200,31.006,32.1,-81.9,-70.8
5.980,12.162,2.108,7.988,-8.240,-114.075,41.748,31.7,-82.6,-70.6
5.990,13.312,3.805,-0.649,-14.160,-114.990,61.157,32.7,-83.7,-71.7
6.000,13.416,0.922,-3.399,-27.649,-46.631,77.026,31.4,-84.7,-70.7
6.010,11.903,-1.775,3.231,-24.780,15.259,64.209,24.7,-85.1,-64.1
6.020,11.924,-2.537,8.342,-16.724,6.042,42.114,16.8,-85.1,-56.4
6.030,12.404,-1.010,5.954,2.991,-26.001,26.550,11.9,-85.1,-51.5
6.040,12.559,0.780,1.610,14.526,-34.912,18.005,9.7,-85.3,-49.2
6.050,12.903,1.787,-0.312,3.662,-3.784,10.193,9.0,-85.4,-48.5
6.060,12.483,2.292,1.113,-17.029,27.466,0.000,9.3,-85.3,-48.9
6.070,11.339,2.030,2.420,-30.273,31.372,-8.362,10.2,-84.9,-50.0
6.080,10.491,1.299,2.547,-34.668,24.658,-14.465,11.4,-84.5,-51.5
6.090,10.723,1.375,2.126,-36.377,13.977,-18.250,12.7,-84.3,-53.3
6.100,10.644,1.641,1.375,-36.133,5.920,-18.433,14.4,-84.1,-55.4
6.110,10.369,2.124,0.699,-31.677,6.409,-12.268,15.9,-84.0,-57.1
6.120,9.755,2.629,0.455,-30.396,15.198,-3.479,16.6,-83.8,-58.2
6.130,9.249,2.357,0.407,-32.227,24.719,2.686,16.6,-83.6,-58.4
6.140,8.585,1.774,0.802,-33.813,32.349,5.493,15.9,-83.4,-58.0
6.150,8.305,1.660,1.086,-34.546,33.691,5.981,14.8,-83.0,-57.3
6.160,8.259,1.181,1.064,-36.926,29.236,4.639,13.9,-82.7,-56.8
6.170,8.318,0.819,0.695,-37.231,24.109,1.038,13.2,-82.5,-56.4
6.180,8.147,0.144,0.395,-39.612,21.973,-4.883,12.9,-82.3,-56.5
6.190,7.694,-0.127,0.142,-41.199,20.325,-11.230,12.8,-82.1,-56.8
6.200,7.234,-0.172,0.196,-40.405,21.606,-15.259,13.0,-81.9,-57.5
6.210,6.938,0.010,0.347,-38.940,22.278,-16.785,13.4,-81.7,-58.2
6.220,7.189,-0.150,0.263,-37.109,24.658,-15.625,13.7,-81.4,-58.9
6.230,6.878,-0.195,0.608,-35.400,31.128,-13.306,13.7,-81.1,-59.3
6.240,6.448,-0.327,0.815,-36.621,30.212,-11.169,13.5,-80.8,-59.4
6.250,6.552,-0.096,1.167,-38.269,24.963,-8.545,13.2,-80.6,-59.5
6.260,6.919,0.005,1.077,-37.964,19.836,-5.066,12.8,-80.3,-59.5
6.270,7.662,0.435,0.530,-37.781,14.587,-1.648,12.3,-80.2,-59.4
6.280,7.982,0.883,-0.088,-35.828,14.832,1.465,11.9,-80.1,-59.3
6.290,8.148,0.834,-0.199,-36.926,16.541,3.784,11.4,-80.0,-59.2
6.300,8.364,0.988,-0.499,-35.828,14.038,3.845,10.9,-79.9,-59.0
6.310,8.597,1.185,-0.833,-34.546,10.803,2.380,10.5,-79.9,-59.0
6.320,8.383,1.487,-1.044,-32.227,7.996,0.610,10.4,-79.9,-59.2
6.330,8.243,1.898,-1.052,-32.471,3.113,-1.038,10.5,-80.0,-59.7
6.340,8.390,2.213,-0.928,-33.875,-1.526,-2.747,10.9,-80.1,-60.3
6.350,9.067,2.071,-0.355,-35.278,-4.150,-5.310,11.4,-80.2,-61.2
6.360,9.428,2.082,0.315,-38.330,-6.348,-6.226,12.1,-80.3,-62.2
6.370,10.092,2.080,1.524,-40.955,-12.024,-3.418,12.6,-80.4,-63.1
6.380,10.792,1.287,2.254,-42.603,-24.963,1.770,12.8,-80.6,-63.8
6.390,11.128,-0.754,4.477,-39.795,-41.260,4.333,12.7,-80.9,-64.1
6.400,12.876,-3.595,7.618,-25.269,-58.533,-6.348,12.6,-81.3,-64.3
6.410,14.972,-6.511,6.126,-8.301,-65.186,-30.945,13.3,-81.7,-65.2
6.420,16.591,-6.177,5.045,11.169,-42.175,-52.856,15.0,-82.0,-66.8
6.430,15.208,-2.538,5.397,24.841,-29.846,-65.491,18.1,-82.1,-69.9
6.440,13.402,0.363,5.349,44.617,-12.634,-60.242,22.1,-81.9,-73.5
6.450,11.697,1.623,3.824,54.321,7.263,-43.762,25.2,-81.6,-76.1
6.460,10.193,3.458,4.053,44.739,16.968,-33.386,27.4,-81.2,-77.8
6.470,9.045,3.620,5.099,27.466,14.648,-28.198,29.2,-80.7,-79.3
6.480,8.493,3.176,5.402,16.907,10.193,-28.015,30.6,-80.3,-80.6
6.490,8.507,2.133,4.452,4.211,13.000,-29.236,31.8,-79.8,-81.6
6.500,9.460,-0.108,4.352,-5.676,8.789,-30.640,32.6,-79.5,-82.5
6.510,11.655,-1.700,5.123,-6.531,-14.893,-36.804,33.6,-79.3,-83.7
6.520,13.626,-2.231,3.949,4.028,-54.016,-44.006,35.8,-79.3,-85.9
6.530,14.195,-1.381,0.588,25.940,-71.228,-40.588,39.2,-79.7,-89.2
6.540,13.865,-0.326,-2.150,40.100,-42.847,-25.269,42.6,-80.1,-92.3
6.550,11.730,0.288,-0.934,36.987,1.160,-9.644,44.3,-80.2,-93.6
6.560,10.150,0.520,2.047,29.236,13.855,-2.930,44.4,-80.2,-93.3
6.570,9.088,0.932,3.324,33.020,9.216,-1.526,44.0,-80.0,-92.7
6.580,8.496,1.246,2.477,33.813,0.000,-0.122,43.9,-80.0,-92.2
6.590,8.240,1.375,1.837,26.367,-3.296,3.174,44.1,-80.0,-92.1
6.600,7.861,0.965,2.021,17.334,-2.930,6.653,44.1,-80.0,-91.9
6.610,7.593,0.571,2.045,13.245,-4.456,8.545,43.9,-80.0,-91.6
6.620,7.717,-0.522,1.746,12.390,-7.629,10.254,43.6,-80.1,-91.2
6.630,8.031,-1.330,1.393,14.832,-10.498,11.169,43.2,-80.3,-90.7
6.640,8.060,-1.618,0.915,17.212,-12.390,12.695,42.9,-80.6,-90.1
6.650,8.052,-1.472,0.463,19.959,-14.954,13.245,42.6,-80.8,-89.6
6.660,8.292,-1.222,-0.326,20.691,-17.029,12.512,42.6,-81.1,-89.5
6.670,7.048,-0.678,-0.154,22.095,-14.099,10.498,42.8,-81.4,-89.4
6.680,8.320,-0.602,-0.138,23.315,-12.451,12.207,42.9,-81.7,-89.4
6.690,7.893,0.198,-0.056,26.184,-6.714,12.634,42.9,-81.9,-89.1
6.700,7.688,0.777,0.163,25.879,-2.380,13.245,42.8,-82.0,-88.6
6.710,7.135,1.019,0.632,24.719,-0.916,13.367,42.5,-82.1,-88.2
6.720,7.238,1.169,0.809,25.391,-0.916,12.512,42.3,-82.2,-87.6
6.730,7.588,1.049,0.864,24.841,0.366,10.071,42.1,-82.3,-87.2
6.740,7.641,0.870,0.828,23.926,1.160,7.874,41.9,-82.3,-86.7
6.750,7.836,0.591,0.803,20.813,1.404,6.348,41.7,-82.3,-86.3
6.760,8.246,0.199,0.450,17.456,1.099,5.493,41.5,-82.4,-85.9
5.870,8.717,0.238,3.907,7.446,25.391,-5.371,3.8,-65.3,-48.6
5.880,8.798,0.274,3.748,7.263,18.433,-7.446,4.0,-65.1,-48.7
5.890,8.864,0.569,3.370,6.287,11.963,-9.583,4.2,-64.9,-48.9
5.900,8.817,0.565,3.042,4.578,7.751,-11.536,4.6,-64.9,-49.2
5.910,8.611,0.439,2.839,4.517,6.592,-13.611,4.9,-64.8,-49.5
5.920,8.353,0.399,2.773,5.432,6.470,-15.137,5.3,-64.8,-49.9
5.930,7.862,0.329,2.799,4.150,5.737,-16.785,5.7,-64.8,-50.3
5.940,7.102,0.290,2.902,3.174,4.028,-18.188,6.1,-64.7,-50.7
5.950,6.811,0.419,2.976,2.625,0.366,-18.372,6.5,-64.7,-51.1
5.960,6.511,0.381,2.857,2.625,-3.845,-18.799,6.9,-64.7,-51.5
5.970,6.594,0.470,2.842,2.686,-8.545,-18.311,7.3,-64.8,-52.0
5.980,6.705,0.842,2.656,2.502,-11.963,-18.433,7.8,-64.9,-52.5
5.990,6.475,1.083,2.735,0.244,-14.282,-18.311,8.3,-65.0,-53.0
6.000,6.430,1.497,2.872,-4.395,-16.846,-17.639,8.8,-65.2,-53.5
6.010,6.418,1.475,2.961,-9.033,-19.775,-17.517,9.3,-65.3,-54.1
6.020,6.536,1.161,2.963,-12.451,-22.949,-17.029,9.7,-65.5,-54.7
6.030,6.724,1.234,2.814,-13.733,-24.963,-15.442,10.1,-65.7,-55.2
6.040,6.874,1.202,2.858,-14.526,-26.306,-13.123,10.4,-65.9,-55.8
6.050,6.976,0.909,2.745,-14.587,-29.846,-12.146,10.7,-66.2,-56.2
6.060,7.153,0.600,2.491,-12.146,-35.584,-12.512,11.1,-66.5,-56.7
6.070,7.401,-0.147,2.088,-7.935,-40.405,-13.489,11.4,-66.9,-57.2
6.080,7.371,-0.449,1.612,-3.540,-41.809,-14.709,11.9,-67.3,-57.8
6.090,7.104,-0.709,1.362,-0.488,-40.527,-15.381,12.3,-67.8,-58.3
6.100,6.751,-1.072,1.223,0.122,-38.147,-14.587,12.8,-68.2,-58.8
6.110,5.993,-0.912,1.174,0.488,-37.048,-13.489,13.2,-68.6,-59.2
6.120,5.376,-0.679,1.093,-0.244,-38.086,-12.878,13.6,-69.0,-59.7
6.130,4.944,-0.075,1.102,-3.601,-38.879,-12.939,14.0,-69.4,-60.2
6.140,4.863,0.441,1.482,-7.019,-38.025,-12.390,14.5,-69.7,-60.8
6.150,5.232,0.824,1.931,-8.667,-36.255,-11.292,15.0,-70.1,-61.4
6.160,5.783,0.982,2.547,-9.583,-35.461,-9.521,15.5,-70.4,-62.0
6.170,6.770,1.318,2.799,-10.315,-35.522,-6.714,15.9,-70.7,-62.5
6.180,7.893,1.237,2.902,-10.620,-35.645,-2.930,16.2,-71.0,-63.0
6.190,9.321,0.909,2.746,-11.047,-38.208,0.488,16.5,-71.3,-63.4
6.200,10.553,0.814,2.479,-10.376,-37.476,4.150,16.6,-71.7,-63.6
6.210,11.339,0.818,2.145,-9.644,-29.724,8.240,16.6,-72.1,-63.7
6.220,11.277,0.674,2.025,-9.277,-16.296,11.230,16.4,-72.4,-63.6
6.230,10.364,0.666,2.187,-9.277,-2.563,12.817,16.0,-72.5,-63.2
6.240,9.243,0.757,2.540,-8.423,2.686,13.306,15.5,-72.6,-62.8
6.250,8.422,1.039,2.539,-5.005,2.197,11.658,15.0,-72.6,-62.4
6.260,7.919,1.325,2.347,-3.113,-1.526,10.315,14.7,-72.6,-62.1
6.270,7.870,1.450,1.921,-2.258,-3.784,8.423,14.6,-72.7,-62.0
6.280,7.858,1.501,1.622,-2.930,-2.625,5.554,14.5,-72.7,-61.9
6.290,7.971,1.442,1.470,-5.249,0.916,3.723,14.5,-72.8,-61.9
6.300,8.087,1.543,1.420,-7.507,5.554,1.831,14.4,-72.7,-61.9
6.310,8.164,1.549,1.695,-11.719,6.104,0.977,14.4,-72.7,-62.0
6.320,8.307,1.708,1.764,-13.794,2.197,0.305,14.4,-72.7,-62.1
6.330,8.531,2.084,1.660,-16.541,-3.357,0.488,14.4,-72.7,-62.3
6.340,9.111,2.192,1.451,-19.287,-7.935,1.648,14.5,-72.8,-62.5
6.350,9.479,2.637,1.251,-22.095,-10.254,2.686,14.6,-73.0,-62.8
6.360,9.772,2.878,1.047,-24.719,-10.864,4.150,14.7,-73.1,-63.1
6.370,10.114,2.947,0.734,-27.405,-10.010,4.883,14.7,-73.3,-63.4
6.380,10.211,2.985,0.352,-29.785,-6.165,5.371,14.7,-73.5,-63.7
6.390,10.395,2.953,0.008,-32.837,-2.625,4.333,14.7,-73.6,-64.0
6.400,10.303,2.911,-0.245,-35.950,-2.869,2.502,14.7,-73.7,-64.3
6.410,10.373,2.602,-0.366,-37.109,-5.127,0.427,14.8,-73.9,-64.7
6.420,10.317,2.177,-0.453,-35.400,-4.944,-1.038,14.9,-74.1,-65.2
6.430,10.211,1.725,-0.107,-35.889,-1.648,-1.282,15.0,-74.2,-65.6
6.440,10.008,1.266,0.757,-35.950,3.174,-1.099,14.9,-74.3,-65.9
6.450,9.841,0.604,1.907,-34.241,5.981,1.282,14.6,-74.3,-65.9
6.460,10.164,0.093,3.911,-33.081,9.949,4.517,14.0,-74.2,-65.7
6.470,11.910,-1.413,6.511,-31.250,14.893,4.944,13.2,-74.0,-65.2
6.480,13.736,-3.014,7.728,-16.785,13.000,-2.747,12.4,-73.8,-64.6
6.490,13.885,-3.183,5.370,7.996,0.366,-14.771,12.0,-73.6,-64.2
6.500,12.365,-1.107,2.821,26.001,-10.315,-18.616,12.3,-73.7,-64.4
6.510,11.388,0.473,1.942,31.616,-21.057,-11.536,13.1,-73.9,-64.8
6.520,10.287,1.047,1.852,32.043,-26.306,-3.662,13.8,-74.1,-65.2
6.530,8.608,1.894,2.386,26.917,-24.536,0.916,14.4,-74.4,-65.6
6.540,7.700,2.027,4.510,15.259,-19.592,4.700,14.9,-74.6,-65.8
6.550,7.359,1.396,6.708,9.949,-20.142,3.662,15.1,-74.6,-65.9
6.560,6.869,0.667,6.882,13.245,-31.128,-2.625,15.4,-74.7,-66.1
6.570,6.450,-0.062,5.304,18.005,-45.654,-11.353,16.1,-74.9,-66.7
6.580,6.857,-1.067,4.708,19.714,-54.565,-20.264,17.2,-75.2,-67.7
6.590,8.003,-2.064,5.288,21.790,-64.087,-30.945,18.7,-75.6,-69.0
6.600,9.439,-1.998,5.688,25.391,-76.172,-42.480,20.7,-76.1,-70.9
6.610,11.495,-0.870,4.869,29.785,-88.196,-50.720,23.4,-76.6,-73.5
