BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	1725
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.010	9.580	0.730	-3.173	0.000	-0.061	-0.061	166.9	-71.5	158.7
0.020	9.605	0.704	-3.187	-0.061	-0.061	-0.061	166.9	-71.5	158.7
0.030	9.642	0.723	-3.198	-0.061	0.000	-0.061	166.9	-71.5	158.7
0.040	9.611	0.703	-3.209	-0.061	0.122	-0.122	166.9	-71.5	158.7
0.050	9.579	0.701	-3.179	-0.122	0.183	0.000	166.9	-71.5	158.7
0.060	9.610	0.686	-3.200	-0.122	0.183	0.000	167.0	-71.5	158.7
0.070	9.606	0.728	-3.187	-0.061	0.244	-0.061	167.0	-71.5	158.7
0.080	9.607	0.692	-3.224	-0.122	0.183	0.000	167.0	-71.5	158.7
0.090	9.587	0.687	-3.162	-0.061	0.183	-0.061	167.0	-71.5	158.7
0.100	9.579	0.731	-3.207	-0.061	0.183	0.061	167.0	-71.5	158.7
0.110	9.594	0.737	-3.132	-0.183	0.122	-0.061	167.0	-71.5	158.7
0.120	9.634	0.731	-3.212	-0.183	0.183	0.061	167.0	-71.5	158.7
0.130	9.587	0.734	-3.146	-0.122	0.183	0.061	167.0	-71.5	158.7
0.140	9.617	0.743	-3.231	-0.061	0.122	0.061	167.0	-71.5	158.7
0.150	9.574	0.704	-3.168	-0.183	0.244	0.061	167.0	-71.5	158.7
0.160	9.631	0.703	-3.177	-0.061	0.305	0.000	167.0	-71.5	158.7
0.170	9.604	0.728	-3.180	-0.183	0.244	-0.061	167.0	-71.5	158.7
0.180	9.610	0.728	-3.243	-0.183	0.305	0.000	166.9	-71.5	158.7
0.190	9.614	0.718	-3.207	-0.122	0.305	0.061	166.9	-71.5	158.7
0.200	9.608	0.711	-3.201	-0.183	0.305	0.000	166.9	-71.5	158.7
0.210	9.592	0.729	-3.169	-0.183	0.244	0.000	166.9	-71.5	158.7
0.220	9.631	0.731	-3.193	-0.183	0.427	0.122	166.9	-71.5	158.7
0.230	9.600	0.688	-3.179	-0.183	0.305	0.000	166.9	-71.5	158.7
0.240	9.585	0.695	-3.172	-0.122	0.305	0.000	166.9	-71.5	158.7
0.250	9.576	0.697	-3.216	-0.183	0.305	0.122	167.0	-71.5	158.7
0.260	9.614	0.681	-3.185	-0.183	0.183	0.000	167.0	-71.5	158.7
0.270	9.649	0.751	-3.156	-0.061	0.244	0.000	167.0	-71.5	158.7
0.280	9.605	0.727	-3.137	-0.122	0.183	0.061	167.0	-71.5	158.7
0.290	9.625	0.745	-3.221	0.000	0.244	0.000	167.0	-71.5	158.7
0.300	9.607	0.735	-3.180	-0.183	0.244	0.061	167.0	-71.5	158.7
0.310	9.610	0.692	-3.182	-0.183	0.244	0.061	166.9	-71.5	158.7
0.320	9.586	0.695	-3.248	-0.183	0.305	0.000	166.9	-71.5	158.7
0.330	9.616	0.719	-3.151	-0.183	0.427	0.000	166.9	-71.5	158.7
0.340	9.603	0.701	-3.219	-0.183	0.488	0.061	166.9	-71.5	158.7
0.350	9.618	0.739	-3.173	-0.183	0.427	0.061	166.9	-71.5	158.7
0.360	9.624	0.712	-3.172	-0.183	0.427	0.122	166.9	-71.5	158.7
0.370	9.618	0.722	-3.139	-0.183	0.427	0.122	166.9	-71.5	158.7
0.380	9.623	0.695	-3.193	-0.183	0.244	0.122	166.9	-71.5	158.7
0.390	9.637	0.674	-3.180	-0.061	0.183	0.183	166.9	-71.5	158.7
0.400	9.622	0.721	-3.124	-0.122	0.244	0.122	166.9	-71.5	158.7
0.410	9.588	0.743	-3.160	-0.061	0.183	0.122	166.9	-71.5	158.7
0.420	9.634	0.728	-3.207	-0.061	0.244	0.122	167.0	-71.5	158.7
0.430	9.598	0.741	-3.200	-0.061	0.183	0.122	167.0	-71.5	158.7
0.440	9.559	0.760	-3.125	-0.122	0.244	0.122	167.0	-71.5	158.7
0.450	9.579	0.718	-3.152	-0.183	0.183	0.122	166.9	-71.5	158.7
0.460	9.619	0.695	-3.206	-0.183	0.183	0.000	166.9	-71.5	158.7
0.470	9.576	0.715	-3.177	-0.183	0.244	0.000	166.9	-71.5	158.7
0.480	9.603	0.723	-3.169	-0.183	0.305	-0.061	166.9	-71.5	158.7
0.490	9.626	0.748	-3.170	-0.122	0.305	0.061	166.9	-71.5	158.7
0.500	9.620	0.734	-3.164	-0.122	0.366	0.122	166.9	-71.5	158.7
0.510	9.599	0.759	-3.191	-0.061	0.305	0.122	166.9	-71.5	158.7
0.520	9.603	0.664	-3.143	-0.061	0.183	0.122	166.9	-71.5	158.7
0.530	9.644	0.725	-3.100	-0.061	0.061	0.122	167.0	-71.5	158.7
0.540	9.599	0.715	-3.204	-0.122	0.061	0.122	167.0	-71.5	158.7
0.550	9.561	0.749	-3.204	-0.061	0.000	0.061	167.0	-71.5	158.7
0.560	9.623	0.734	-3.181	-0.183	0.122	0.122	167.0	-71.5	158.7
0.570	9.654	0.727	-3.186	-0.183	0.122	0.122	167.0	-71.5	158.7
0.580	9.593	0.700	-3.154	-0.183	0.183	0.122	167.0	-71.5	158.7
0.590	9.619	0.675	-3.174	-0.122	0.244	0.061	167.0	-71.5	158.7
0.600	9.611	0.735	-3.194	-0.183	0.183	0.061	167.0	-71.5	158.7
0.610	9.617	0.722	-3.188	-0.183	0.244	0.061	167.0	-71.5	158.7
0.620	9.628	0.716	-3.198	-0.122	0.305	0.061	167.0	-71.5	158.7
0.630	9.586	0.743	-3.166	-0.061	0.183	0.061	167.0	-71.5	158.7
0.640	9.641	0.725	-3.160	0.000	0.183	0.061	167.0	-71.5	158.7
0.650	9.652	0.704	-3.172	-0.061	0.183	0.122	167.0	-71.5	158.7
0.660	9.649	0.725	-3.197	0.000	0.183	0.061	167.0	-71.5	158.7
