BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	946
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.680	9.240	-0.287	2.903	0.366	0.427	-0.061	-4.5	-72.3	142.6
0.690	9.248	-0.287	2.911	0.488	0.305	-0.183	-4.5	-72.3	142.6
0.700	9.259	-0.302	2.937	0.488	0.366	-0.061	-4.5	-72.3	142.6
0.710	9.275	-0.284	2.904	0.610	0.671	0.061	-4.5	-72.3	142.6
0.720	9.215	-0.269	2.932	0.671	0.610	0.000	-4.5	-72.3	142.6
0.730	9.200	-0.240	2.917	0.488	0.549	0.122	-4.5	-72.3	142.6
0.740	9.206	-0.260	2.880	0.610	0.549	0.244	-4.5	-72.3	142.6
0.750	9.205	-0.254	2.893	0.549	0.732	0.366	-4.5	-72.3	142.6
0.760	9.205	-0.266	2.908	0.549	0.793	0.366	-4.6	-72.3	142.6
0.770	9.251	-0.258	2.910	0.488	0.549	0.366	-4.6	-72.3	142.6
0.780	9.228	-0.257	2.918	0.488	0.488	0.244	-4.6	-72.3	142.6
0.790	9.204	-0.241	2.872	0.671	0.488	0.061	-4.6	-72.3	142.7
0.800	9.212	-0.234	2.937	0.732	0.793	0.122	-4.6	-72.3	142.7
0.810	9.241	-0.244	2.982	0.854	0.732	0.061	-4.6	-72.3	142.7
0.820	9.243	-0.263	2.909	0.916	0.610	0.061	-4.6	-72.3	142.7
0.830	9.267	-0.250	2.912	0.977	0.549	0.061	-4.6	-72.3	142.7
0.840	9.290	-0.315	2.897	1.038	0.488	0.183	-4.6	-72.3	142.7
0.850	9.272	-0.313	2.898	1.160	0.549	0.183	-4.6	-72.3	142.7
0.860	9.199	-0.308	2.891	1.099	0.549	0.244	-4.6	-72.3	142.7
0.870	9.210	-0.270	2.908	1.160	0.793	0.183	-4.6	-72.3	142.7
0.880	9.202	-0.253	2.977	1.038	0.732	0.244	-4.6	-72.3	142.7
0.890	9.157	-0.174	2.954	0.854	0.732	0.061	-4.6	-72.3	142.7
0.900	9.187	-0.155	2.920	0.671	0.549	0.183	-4.6	-72.3	142.7
0.910	9.166	-0.212	2.939	0.549	0.549	0.061	-4.6	-72.3	142.7
0.920	9.263	-0.212	2.872	0.488	0.549	0.061	-4.6	-72.3	142.7
0.930	9.254	-0.177	2.923	0.427	0.549	0.000	-4.6	-72.3	142.7
