BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	1153
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.010	9.348	-0.357	2.532	0.122	-0.061	-0.061	-5.3	-74.0	-21.9
0.020	9.337	-0.325	2.486	0.122	-0.061	0.000	-5.3	-74.0	-21.8
0.030	9.343	-0.312	2.565	0.000	-0.122	0.000	-5.3	-74.0	-21.8
0.040	9.368	-0.277	2.523	-0.061	-0.305	0.061	-5.3	-74.0	-21.8
0.050	9.382	-0.314	2.462	0.122	-0.305	0.000	-5.4	-74.0	-21.8
0.060	9.405	-0.313	2.477	0.122	-0.183	0.061	-5.4	-74.1	-21.8
0.070	9.410	-0.319	2.574	0.183	-0.122	0.061	-5.4	-74.1	-21.8
0.080	9.416	-0.323	2.475	0.244	0.061	0.183	-5.4	-74.1	-21.8
0.090	9.393	-0.324	2.511	0.244	0.183	0.122	-5.4	-74.1	-21.8
0.100	9.357	-0.317	2.460	0.427	0.183	0.122	-5.4	-74.1	-21.8
0.110	9.367	-0.318	2.490	0.366	0.122	0.183	-5.4	-74.1	-21.8
0.120	9.385	-0.319	2.502	0.244	-0.061	0.122	-5.4	-74.1	-21.7
0.130	9.379	-0.268	2.522	0.244	0.183	0.122	-5.5	-74.1	-21.7
0.140	9.412	-0.289	2.479	0.122	0.427	0.122	-5.5	-74.1	-21.7
0.150	9.389	-0.282	2.483	0.122	0.610	0.122	-5.5	-74.1	-21.7
0.160	9.324	-0.306	2.538	0.122	0.549	0.000	-5.5	-74.1	-21.7
0.170	9.376	-0.280	2.558	0.244	0.305	0.061	-5.5	-74.1	-21.7
0.180	9.377	-0.306	2.528	0.427	0.427	0.061	-5.5	-74.1	-21.7
0.190	9.344	-0.332	2.479	0.732	0.610	0.122	-5.5	-74.1	-21.7
0.200	9.301	-0.337	2.459	0.854	0.610	0.183	-5.5	-74.1	-21.7
0.210	9.310	-0.369	2.552	0.671	0.488	0.183	-5.5	-74.1	-21.7
