BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	971
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.010	9.387	-0.149	2.667	0.000	-0.183	-0.183	-1.7	-73.8	-40.2
0.020	9.394	-0.172	2.661	0.305	-0.366	-0.244	-1.7	-73.8	-40.2
0.030	9.337	-0.183	2.684	0.488	0.061	-0.305	-1.7	-73.8	-40.2
0.040	9.289	-0.056	2.605	0.671	0.122	-0.305	-1.7	-73.8	-40.2
0.050	9.251	-0.070	2.632	0.916	0.183	-0.183	-1.6	-73.8	-40.2
0.060	9.246	-0.105	2.614	1.038	0.122	0.061	-1.6	-73.8	-40.2
0.070	9.279	-0.074	2.715	1.038	0.000	0.305	-1.6	-73.8	-40.2
0.080	9.279	-0.071	2.627	1.282	0.122	0.305	-1.6	-73.7	-40.2
0.090	9.302	-0.114	2.698	1.221	-0.183	0.366	-1.6	-73.7	-40.2
0.100	9.314	0.045	2.612	1.221	-0.183	0.244	-1.5	-73.7	-40.2
0.110	9.320	0.072	2.587	0.977	-0.183	0.305	-1.5	-73.7	-40.2
0.120	9.320	0.047	2.618	0.549	-0.366	0.549	-1.5	-73.7	-40.2
0.130	9.379	-0.071	2.692	0.427	-0.793	0.610	-1.5	-73.7	-40.2
0.140	9.436	-0.063	2.679	0.549	-0.732	0.305	-1.5	-73.7	-40.2
0.150	9.419	-0.060	2.635	0.793	-0.061	0.061	-1.4	-73.7	-40.2
0.160	9.313	-0.086	2.624	1.038	0.183	0.000	-1.4	-73.6	-40.2
0.170	9.258	-0.095	2.614	1.160	-0.183	0.000	-1.4	-73.6	-40.2
0.180	9.272	-0.071	2.693	1.343	-0.305	0.061	-1.4	-73.6	-40.2
0.190	9.318	-0.098	2.722	1.465	-0.366	0.244	-1.3	-73.6	-40.2
0.200	9.331	-0.114	2.758	1.709	-0.671	0.305	-1.3	-73.6	-40.1
0.210	9.375	-0.028	2.760	2.014	-0.549	0.366	-1.3	-73.6	-40.1
0.220	9.377	0.053	2.613	2.197	-0.488	0.366	-1.3	-73.6	-40.1
0.230	9.284	0.095	2.565	1.770	-0.305	0.610	-1.2	-73.6	-40.1
0.240	9.295	0.031	2.672	1.465	-0.061	0.977	-1.2	-73.6	-40.1
0.250	9.395	-0.064	2.690	1.404	-0.549	0.977	-1.2	-73.6	-40.1
0.260	9.391	-0.042	2.613	1.221	-0.671	0.671	-1.2	-73.5	-40.1
